"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,Car,2010,6061,0.545,33.2,22.0,30.5,26.2,3474,110.5,156,187,8.8,1.197,0.0527,59.8,3864,6632,81.6%,5.9%,12.5%,5.7%,1.9%,77.6%,14.8%,,,6.6%,92.4%,,1.0%,92.9%,90.5%,6.2%,48.8%,37.4%,13.7%
Car,Car,2011,5743,0.478,32.9,21.7,30.8,26.1,3559,111.1,159,198,8.5,1.251,0.0547,60.3,3824,6717,78.3%,8.4%,13.4%,5.4%,0.6%,81.2%,12.8%,,,16.4%,82.3%,,1.1%,93.4%,93.7%,4.0%,35.3%,39.8%,12.7%
Car,Car,2012,7392,0.550,35.4,23.3,32.7,27.9,3452,110.7,148,188,8.6,1.277,0.0535,63.3,4111,7018,84.1%,6.2%,9.6%,5.6%,2.1%,76.7%,15.7%,,,25.4%,73.2%,,1.2%,98.0%,97.4%,5.8%,,,
Car,Car,2013,8226,0.541,36.4,24.0,33.4,28.6,3465,110.3,145,193,8.4,1.340,0.0547,66.4,4274,7353,81.6%,7.7%,10.7%,5.6%,2.6%,72.2%,19.6%,,,35.3%,62.8%,,1.3%,97.6%,97.2%,6.9%,,,
Car,Car,2014,7639,0.492,36.6,24.1,33.6,28.7,3497,110.9,146,196,8.4,1.346,0.0550,67.0,4308,7452,79.3%,8.2%,12.5%,4.7%,3.2%,63.9%,28.2%,,,40.8%,57.1%,,1.6%,97.2%,96.8%,5.8%,,,
Car,Car,2015,-,0.490,37.4,24.5,34.3,29.3,3509,111.2,144,198,8.3,1.380,0.0551,70.2,4495,7840,77.4%,9.6%,13.1%,6.6%,3.4%,61.6%,28.4%,,,43.6%,53.0%,,1.7%,96.4%,95.9%,5.8%,,,
Car,Car SUV,1975,10,0.001,13.1,10.1,12.6,11.1,4000,,262,113,,0.430,0.0282,26.5,,,,,100.0%,68.3%,31.7%,,,,100.0%,,,,,,,,61.4%,38.6%,
Car,Car SUV,1976,11,0.001,12.4,9.4,12.5,10.6,3986,,263,123,,0.467,0.0309,25.9,,,,,100.0%,69.1%,30.9%,,,,100.0%,,,,,,,,63.1%,36.9%,
Car,Car SUV,1977,19,0.001,14.3,11.2,13.6,12.2,4000,,261,124,,0.477,0.0311,29.5,,,,,100.0%,82.5%,17.5%,,,,100.0%,,,,,,,,79.5%,20.5%,
Car,Car SUV,1978,16,0.001,13.6,10.4,13.5,11.6,4000,,262,126,14.2,0.481,0.0315,27.9,,,,,100.0%,84.2%,15.8%,,,,100.0%,,,,,,,,81.6%,18.4%,
