"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
All,All,1990,12615,1.000,25.2,18.7,24.6,21.2,3426,,185,135,11.5,0.781,0.0394,43.5,,,63.8%,10.1%,26.1%,22.2%,6.5%,71.2%,0.0%,0.0%,2.1%,,70.8%,27.0%,0.1%,23.1%,0.4%,,44.9%,37.2%,17.8%
All,All,1991,12573,1.000,25.4,18.8,24.7,21.3,3410,,184,138,11.4,0.796,0.0402,43.6,,,59.6%,12.3%,28.1%,23.9%,4.5%,71.6%,0.0%,,0.6%,,70.6%,28.7%,0.1%,23.1%,1.7%,,45.3%,39.4%,15.2%
All,All,1992,12172,1.000,24.9,18.2,24.4,20.8,3512,,191,145,11.0,0.807,0.0413,44.1,,,58.4%,11.2%,30.4%,20.7%,4.5%,74.8%,0.0%,,0.5%,,81.6%,17.8%,0.1%,23.3%,3.0%,,41.1%,39.9%,19.0%
All,All,1993,13211,1.000,25.1,18.2,24.4,20.9,3519,,191,147,10.3,0.809,0.0416,44.5,,,59.9%,11.3%,28.8%,19.8%,3.7%,76.5%,0.0%,,0.3%,,85.0%,14.6%,,23.5%,3.0%,,39.8%,42.4%,17.8%
All,All,1994,14125,1.000,24.6,17.8,23.8,20.4,3603,,197,152,10.1,0.816,0.0420,44.6,,,55.6%,15.2%,29.2%,19.5%,3.0%,77.6%,,,0.1%,,87.7%,12.1%,0.0%,26.7%,4.8%,,38.8%,41.0%,20.1%
All,All,1995,15145,1.000,24.7,17.7,24.1,20.5,3613,,196,158,10.1,0.857,0.0438,45.2,,,57.6%,16.2%,26.3%,17.9%,1.4%,80.7%,,,,,91.6%,8.4%,0.0%,35.6%,6.1%,,38.8%,41.9%,19.3%
All,All,1996,13144,1.000,24.8,17.6,24.0,20.4,3659,,197,164,10.4,0.878,0.0447,45.6,,,60.0%,15.7%,24.3%,15.2%,1.3%,83.5%,0.0%,0.0%,,,99.3%,0.7%,0.1%,39.3%,7.0%,,35.2%,46.0%,18.7%
All,All,1997,14458,1.000,24.5,17.4,23.6,20.2,3727,,199,169,10.2,0.890,0.0452,45.9,,,56.1%,19.0%,24.9%,14.0%,0.5%,85.5%,0.0%,,,,99.5%,0.5%,0.1%,39.6%,6.5%,,36.0%,39.9%,24.1%
All,All,1998,14456,1.000,24.5,17.2,23.6,20.1,3744,,199,171,10.4,0.904,0.0457,46.3,,,56.4%,20.1%,23.5%,12.8%,0.5%,86.7%,0.0%,,,,99.8%,0.1%,0.1%,40.9%,10.1%,,31.2%,47.9%,20.8%
All,All,1999,15215,1.000,24.1,16.9,23.0,19.7,3835,,203,179,10.3,0.921,0.0465,46.5,,,55.8%,21.3%,22.9%,10.1%,0.5%,89.4%,0.0%,,,,99.9%,0.1%,0.1%,43.4%,10.8%,,29.7%,46.9%,23.4%
All,All,2000,16571,1.000,24.3,16.9,23.0,19.8,3821,,200,181,9.8,0.942,0.0472,46.7,,,55.5%,20.2%,24.3%,9.7%,0.7%,89.5%,0.0%,,,,99.8%,0.0%,0.1%,44.8%,15.0%,0.0%,29.2%,43.9%,26.9%
All,All,2001,15605,1.000,24.2,16.8,22.8,19.6,3879,,201,187,9.5,0.968,0.0480,47.3,,,53.8%,22.0%,24.2%,9.0%,0.6%,90.3%,0.1%,,,,99.9%,,0.1%,49.0%,19.6%,0.1%,30.4%,39.4%,30.2%
All,All,2002,16115,1.000,24.1,16.6,22.5,19.5,3951,,203,195,9.4,0.994,0.0493,47.9,,,52.7%,25.0%,22.3%,8.2%,0.3%,91.4%,0.2%,,,,99.8%,,0.2%,53.3%,25.3%,0.2%,28.5%,39.8%,31.7%
All,All,2003,15773,1.000,24.3,16.7,22.7,19.6,3999,,204,199,9.3,1.007,0.0496,49.0,,,50.7%,25.0%,24.3%,8.0%,0.1%,90.8%,1.1%,,,,99.8%,,0.2%,55.5%,30.6%,0.3%,28.3%,40.7%,31.0%
All,All,2004,15709,1.000,24.0,16.3,22.4,19.3,4111,,212,211,9.1,1.026,0.0511,49.7,,,47.7%,29.8%,22.4%,6.8%,0.3%,91.8%,1.2%,,,,99.9%,,0.1%,62.3%,38.5%,0.5%,25.4%,41.1%,33.5%
All,All,2005,15892,1.000,24.8,16.8,23.1,19.9,4059,,205,209,9.0,1.049,0.0512,50.9,,,53.0%,26.8%,20.2%,6.2%,0.1%,91.5%,2.3%,,,,99.7%,,0.3%,65.6%,45.8%,1.1%,23.7%,43.1%,33.2%
All,All,2006,15104,1.000,25.2,17.0,23.4,20.1,4067,,204,213,8.9,1.073,0.0522,51.7,,,51.9%,25.8%,22.3%,6.5%,0.0%,90.6%,2.8%,,,,99.6%,,0.4%,71.7%,55.4%,1.5%,25.4%,40.5%,34.1%
All,All,2007,15276,1.000,25.8,17.4,24.0,20.6,4093,,203,217,8.9,1.099,0.0525,53.4,,,54.3%,26.1%,19.6%,5.6%,0.0%,87.1%,7.2%,,,0.2%,99.8%,,0.1%,71.7%,57.3%,2.2%,24.5%,42.3%,33.2%
All,All,2008,13898,1.000,26.3,17.7,24.4,21.0,4085,,199,219,8.9,1.122,0.0529,54.4,,,54.2%,27.3%,18.5%,5.2%,0.2%,86.8%,7.9%,,,2.3%,97.6%,,0.1%,76.4%,58.2%,2.5%,24.7%,42.4%,32.9%
All,All,2009,9316,1.000,28.2,18.9,26.0,22.4,3914,,183,208,8.8,1.156,0.0523,55.9,,,62.9%,23.5%,13.6%,4.8%,0.2%,85.6%,9.4%,,,4.2%,95.2%,,0.5%,83.8%,71.5%,2.3%,29.7%,42.2%,28.1%
All,All,2010,11116,1.000,28.4,19.1,26.2,22.6,4001,,188,214,8.8,1.160,0.0527,58.3,,,59.6%,26.7%,13.7%,3.8%,1.2%,84.1%,11.0%,,,8.3%,91.0%,,0.7%,85.5%,83.8%,3.8%,27.7%,43.1%,29.2%
All,All,2011,12018,1.000,28.1,18.8,26.1,22.4,4126,,192,230,8.5,1.217,0.0549,59.1,,,53.8%,32.4%,13.8%,3.2%,0.3%,86.5%,10.0%,,,15.4%,83.8%,,0.8%,86.4%,93.1%,2.2%,16.9%,40.6%,33.7%
All,All,2012,13448,1.000,29.9,19.9,27.6,23.7,3979,,180,222,8.5,1.247,0.0547,61.0,,,61.4%,27.7%,10.9%,3.6%,1.1%,83.4%,11.9%,,,22.5%,76.5%,,0.9%,91.8%,96.6%,3.4%,,,
All,All,2013,15198,1.000,30.7,20.5,28.3,24.3,4003,,176,226,8.4,1.308,0.0554,63.7,,,59.7%,29.1%,11.1%,3.5%,1.4%,80.4%,14.7%,,,30.5%,68.3%,,0.9%,92.8%,97.4%,3.9%,,,
All,All,2014,15512,1.000,30.7,20.5,28.2,24.3,4060,,180,230,8.3,1.306,0.0556,64.1,,,55.3%,32.6%,12.1%,2.8%,1.6%,76.7%,19.0%,,,37.4%,61.3%,,1.0%,89.2%,97.6%,3.0%,,,
All,All,2015,-,1.000,31.2,20.8,28.7,24.7,4076,,180,233,8.2,1.333,0.0562,66.4,,,52.7%,34.3%,13.0%,3.6%,1.7%,74.0%,20.7%,,,45.1%,52.6%,,1.4%,88.7%,97.4%,3.2%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
